;location;database;code;name;reference product;unit;waste_composting_solid;waste_digestion_liquid;waste_digestion_solid;waste_hazardous_liquid;waste_hazardous_solid;waste_incineration_liquid;waste_incineration_solid;waste_landfill_liquid;waste_landfill_solid;waste_non_hazardous_liquid;waste_non_hazardous_solid;waste_open_burning_solid;waste_recycling_solid;waste_total_liquid;waste_total_solid;Antimony (demand);Bauxite (demand);Borates (demand);Cement (demand);Cobalt (demand);Coke (demand);Copper (demand);Electricity (demand);Fluorspar (demand);Gallium (demand);Gold (demand);Graphite (demand);Helium (demand);Indium (demand);Latex (demand);Lithium (demand);Magnesium (demand);Natural gas (demand);Nickel (demand);Palladium (demand);Petroleum (demand);Phosphate rock (demand);Platinum (demand);Rare earth (demand);Rhodium (demand);Sand (demand);Scandium (demand);Silicon (demand);Silver (demand);Strontium (demand);Tantalum (demand);Tungsten (demand);Vegetable oil (demand);Water (demand);Zinc (demand);log parameters;parameters full;amount;worksheet name;source
80668cba452d7daa47ec2b932c503fd2;RoW;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2020;80668cba452d7daa47ec2b932c503fd2;market for limestone, crushed, for mill;limestone, crushed, for mill;kilogram;-8.357958613385994e-08;-7.133216702293281e-08;1.651867732806319e-07;1.935770053709469e-11;-1.6669690805850995e-05;3.123778486362646e-13;-1.1237238704172955e-05;3.470864769347732e-14;0.00019113316526903;0.0;0.0;6.450169269846416e-07;4.4859374626662034e-05;3.656412887701071e-06;0.0006880561837280127;9.22460938690616e-13;2.6833283843736698e-05;2.627992765254115e-09;9.262411084839358e-06;7.506407389111761e-10;0.0006929204211307281;1.116891841429319e-06;0.0;1.2974410380353222e-07;2.915257441566012e-14;9.780204123035824e-12;9.10509344115572e-09;4.985860435554012e-11;1.7221232801712102e-16;5.03951496552119e-08;2.469253931727942e-10;5.346994128624643e-10;0.0;1.5555888978233303e-08;3.9133597696544846e-13;0.000564613649385007;1.0450637533379722e-05;1.346167851912368e-11;5.083666603739147e-10;8.708531264605214e-16;3.965774168066503e-05;0.0;9.060973905534277e-08;4.99636435856636e-10;1.0066316414014382e-10;1.328026647963536e-10;0.0;3.4531108272575258e-09;7.764344999231334e-08;1.6196598315170593e-07;;;;;
4509be78710b1a2821f864fb9c07f204;RoW;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2020;4509be78710b1a2821f864fb9c07f204;market for waste sealing sheet, polyethylene;waste sealing sheet, polyethylene;kilogram;1.658019842885716e-06;1.7535499478646583e-07;-5.586735890433663e-08;-2.2526314510586579e-10;4.368862754388273e-05;-3.5811933392534483e-12;-2.000438342398207;-3.9791034632263456e-13;-0.05271414534676689;0.0;0.0;-4.988571059235705e-06;-0.010713997615996038;-0.00010582885429248613;-3.160379731210744;-1.2385047917485921e-11;-0.00015793481735668365;-3.142382852990049e-08;-0.012832330147534663;-4.348745492881815e-09;-0.016471902186062707;-1.4728103306231837e-05;0.0;-9.740705381555458e-06;-2.8340086539501373e-13;-1.2558567794930208e-10;-4.229882057278334e-08;-5.57656312531364e-10;-3.7751347271011886e-17;-6.731678989377492e-09;-4.0772132283566175e-08;-5.848026197483426e-08;0.0;-4.2331495636274125e-07;-4.332503099084387e-12;-0.0033772888576416183;-1.2959253165727068e-05;-7.324258844401508e-10;-2.2259669320534085e-09;-2.585668053565072e-15;-0.003511658491617909;0.0;-3.617237274587906e-07;-7.940745977798882e-08;-1.5213267500420884e-09;-1.5025542174103224e-09;0.0;-2.3205347841141227e-08;-1.3527967285492524e-05;-1.0079361775877392e-06;;;;;
2953d4d5d33f92c37b9dc035c1b8df8b;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2020;2953d4d5d33f92c37b9dc035c1b8df8b;sodium chloride to generic market for de-icer;de-icer;kilogram;-9.161612651041659e-05;-2.936388274753725e-07;9.411629712936933e-07;1.4119071207426224e-08;-0.007168174625509328;1.6645244032452836e-10;0.0022468645597202384;1.849471444331123e-11;0.20438845014053975;0.0;0.0;0.0002463473190748131;0.021343226318292444;0.01186312955663287;0.5964086824250135;5.641809854326539e-10;0.0032207345784627615;1.6217497098564472e-06;0.0021761650919754306;3.43108111737083e-08;0.06410079418613869;0.0013003022443155757;0.0;4.644543076509943e-05;1.3013986771347833e-11;3.352412175861702e-08;1.074802323132012e-06;1.6720503826697706e-07;7.593689661627808e-17;1.374176816531109e-07;2.5061156987198873e-07;4.921042565382946e-07;0.0;9.843414027525666e-07;1.3145306496460004e-09;0.022907154527655866;9.465127561730253e-05;4.575582941441435e-09;1.7094731201097552e-08;3.241562731807269e-14;0.016327146842160807;0.0;1.3010110074861382e-05;5.769625524609975e-07;7.787416124780613e-08;4.570340942302346e-07;0.0;1.5202042583083586e-06;6.185035613934052e-05;0.0001395749644339225;;;;;
9fc523c2fba98791aeb9c4989ba8ca00;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2020;9fc523c2fba98791aeb9c4989ba8ca00;market for maintenance, passenger car, electric, without battery;maintenance, passenger car, electric, without battery;unit;-0.1382183153370403;-0.00028033333083251526;0.003873817196726667;3.349983671031562e-05;-0.5601176409383972;5.377639478803487e-07;35.818452091116775;5.975154605461887e-08;224.04702694533734;0.0;0.0;20.99183974733888;11.106638439776832;3.6016656929995783;822.5351525160377;2.316671762047483e-07;1.4122562229615458;0.0012401978194223197;3.4880299424748546;8.221588205425457e-05;149.63735069291425;0.9355673499608815;0.0;0.12617370476469608;4.987541551032461e-08;8.532348756677392e-06;0.0007814462646392262;4.5403392360275094e-05;6.995164366530949e-14;0.00021210173796904635;0.00012738490517517532;0.000524835832653263;0.0;0.002168733581003592;3.3428047604093364e-07;103.94550970138167;1.0804419204157059;2.6303367344990097e-06;2.608499254529376e-05;8.792918743440157e-12;13.789795072208653;0.0;0.013376862514366154;0.0002903875793090348;8.157894770098587e-05;0.00011618652533423832;0.0;0.0022302543839537617;0.043144742492416205;0.04528836122264255;;;;;
9a801cac0b8fa0e6c57b4ba4cab0244e;RoW;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2020;9a801cac0b8fa0e6c57b4ba4cab0244e;market for sewage sludge, 97% water, WWT, WW from ceramic production;sewage sludge, 97% water, WWT, WW from ceramic production;kilogram;2.5597597112997e-06;3.3250589004214084e-08;-4.2328096073037836e-08;-2.3299729970946397e-10;1.0000367580493412;-3.719138053601424e-12;-9.398431355435007e-05;-4.1323753585410577e-13;-0.03451902754294828;0.0;0.0;-6.102124957786155e-06;-0.0002519632042820216;-5.5168495838647347e-05;0.9289877865133717;-2.2213323799402555e-11;-0.0002541565534327803;-3.7993117917205957e-08;-8.565587580773328e-05;-6.4416591864678e-09;-0.006430446256382972;-2.1920606847426978e-05;0.0;-1.594989628006355e-06;-2.684668248487429e-13;-7.062685913044709e-11;-6.683012476789227e-08;-1.5682448303698174e-10;-6.218854841098019e-17;-1.1959416026197081e-08;-9.719679781438483e-08;-1.3604831539288478e-07;0.0;-5.1412494056931344e-08;-1.2397826505523916e-12;-0.0052291112561595795;-1.0549243158704287e-05;-1.7350392484243671e-09;-4.526262286380515e-09;-1.0651535424295716e-15;-0.0007439281398749736;0.0;-6.506591496040955e-07;-1.8879337527779507e-07;-2.553353036578215e-09;-4.3754993501257513e-10;0.0;-1.872106151388038e-08;-1.4258193417479237e-05;-2.667115602758009e-06;;;;;
c09ff9913ddd9c6739f44bd3665cfa0f;RoW;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2020;c09ff9913ddd9c6739f44bd3665cfa0f;market for bundle, energy wood, measured as dry mass;bundle, energy wood, measured as dry mass;kilogram;-1.094284229631831e-05;-4.4524973856799374e-08;7.15504445585297e-06;5.792626578505917e-10;-0.0032376928585822065;9.277741326428901e-12;-8.8110914155008e-05;1.03086008337677e-12;0.05822380625750483;0.0;0.0;1.432992966364032e-05;0.00038966556188170623;0.00024287811847290087;0.11781281081114284;3.307038237318585e-11;0.00043610000294420567;1.749670311936537e-07;0.0002354942026305021;2.0669586009488516e-08;0.016330465552956606;3.753838503966593e-05;0.0;4.266530125156806e-06;7.251871300870052e-13;5.280649035362925e-10;1.2610386400163013e-07;2.344241852962563e-09;1.8985424289706219e-16;1.9319621658590803e-08;1.5529493138467845e-07;2.1917760744497728e-07;0.0;1.66707810702356e-07;1.8976263243628113e-11;0.014690886169741128;5.9099557213946694e-05;2.8514296854847693e-09;1.345661836341076e-08;2.188881710736742e-14;0.0014630869871353615;0.0;1.240156300709001e-06;3.0166178135154034e-07;3.833430603896783e-09;6.3878968346951876e-09;0.0;0.00025879451517113515;3.852927378862122e-05;2.665001279896582e-06;;;;;
446cb80b3c6f4c0499bbf48eb691e903;World;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2020;446cb80b3c6f4c0499bbf48eb691e903;market for hydrogen, gaseous, 20-year period;hydrogen, gaseous;kilogram;-0.0006053771700839131;-0.0002154107743340857;4.934720104915305e-06;6.004343499872694e-08;-0.022092133261984913;9.462182276096373e-10;0.00026317068678524273;1.0513535209563109e-10;0.33727300160795715;0.0;0.0;0.0008681036175964559;0.05640245151273841;0.014190766079056975;1.060385606598335;1.024161134431395e-09;0.007512545411940381;6.656081466959779e-06;0.013317660872568632;1.3831655255503464e-07;0.67236314449174;0.003559647923003163;0.0;0.0005206069199073792;1.3611907862346486e-10;4.590286841447467e-08;2.9651551598630203e-06;2.4254106922078963e-07;2.6940722241735004e-16;2.4589625537522937e-06;2.61896678116131e-07;2.031578215713085e-06;0.0;0.0001805758953636898;1.809711792811501e-09;0.055974098713174956;0.0006876269209851182;8.165143401711108e-09;3.4338755809231315e-08;3.919899148106579e-14;0.39116087956620127;0.0;3.936477974649289e-05;6.673434169945879e-07;1.2327084695232056e-07;6.298499066898184e-07;0.0;8.317487552110138e-06;0.00014268753093062977;0.00020457026490764815;{'fossil CO2 per kg fuel': 0.0, 'non-fossil CO2 per kg fuel': 0.0, 'lower heating value': 119.99999999999997};;;;
e17a492637a3f0da009b56adc791bf7e;RoW;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2020;e17a492637a3f0da009b56adc791bf7e;market for sawnwood, hardwood, raw, dried (u=20%);sawnwood, hardwood, raw, dried (u=20%);cubic meter;-0.007330840777267956;-3.251542258078616e-05;0.009316830405690705;1.100459998655993e-06;-3.820835159210775;1.7814915808607126e-08;-0.01572355584574618;1.9794349669457357e-09;18.0145795180482;0.0;0.0;0.020746717868077667;2.1361061778492254;0.16959425244420506;46.677465578544435;3.4410337521006664e-08;0.15732438739302324;0.0001347573528575058;0.28297752843015717;1.3420585085594454e-05;13.526322752617608;0.016335902393920135;0.0;0.0020447090845559495;1.5783078836801788e-09;1.9391648924727833e-07;6.086263752549647e-05;1.0009998153779862e-06;5.874398325344423e-14;1.223701803598066e-05;3.5247752545936804e-05;6.095446965391088e-05;0.0;0.0004528374462674204;9.004078506975906e-09;7.277284399447448;0.050397306011787615;7.172433233664103e-07;7.3756323343738735e-06;6.001664193766522e-11;1.6860395915697952;0.0;0.0007746425011994578;6.826856838752358e-05;3.8039302457488174e-06;2.4820673194915155e-06;0.0;0.3251906332315314;0.13083251495933684;0.008153706282544223;;;;;
83e7aaeb6306d67a93603a9087f0e766;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2020;83e7aaeb6306d67a93603a9087f0e766;market for used cable;used cable;kilogram;1.0833979636252779e-05;6.665216805070218e-07;-8.634124640833052e-07;-8.239496200098161e-09;0.00017059414726923182;-1.3189035049859672e-10;-0.6804793901560753;-1.4654482478862926e-11;-0.1765240966179194;0.0;0.0;-0.00013240600862947808;-0.005913624032004521;-0.0016515036785519912;-1.7468849865661913;-1.0286645427999252e-10;-0.0005194501573868033;-2.6107360908510655e-07;-0.042627437388559716;-1.0044951259890427e-08;-0.017135897233055516;-7.039131491066997e-05;0.0;-0.00031801830845099954;-1.2853962558365632e-11;-7.664088902215221e-10;-1.630822903529327e-07;-4.549101273034032e-09;-1.0977107948680103e-16;-5.1936698336413005e-08;-7.024196500888017e-08;-1.8053098619375997e-07;0.0;-3.832237913756194e-07;-2.950881111760767e-11;-0.012217484180969967;-0.0002694406454956575;-1.2829923774757845e-09;-5.209229092168248e-09;-6.9314290059588865e-15;-0.004222755360546111;0.0;-3.2070744003889157e-06;-1.4197448620333888e-07;-1.1583286546545057e-08;-1.0244979644601397e-08;0.0;-3.974217250093354e-07;-3.074463203997708e-05;-6.941265962190178e-06;;;;;
cb7fab7f60e62d9728ca07baa06ec36e;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2020;cb7fab7f60e62d9728ca07baa06ec36e;market for salt tailing from potash mine;salt tailing from potash mine;kilogram;1.46011535096833e-06;2.714367015502034e-06;-4.086828398784696e-08;-1.4135253804801627e-10;4.458374549818483e-05;-2.2665358593189677e-12;-5.917897181700607e-06;-2.518373020659895e-13;-0.012453441722411437;0.0;0.0;-2.279433142753133e-06;-0.00018148958584342857;-3.592323138259315e-05;-0.026205147675689572;-7.830227995976066e-12;-9.518455411753304e-05;-2.253060006669201e-08;-5.1479938023317555e-05;-3.76566907020681e-09;-0.0036531157549531046;-9.06861003649501e-06;0.0;-1.7173261710042149e-06;-1.68891798568645e-13;-3.655779638613368e-11;-2.669342264676976e-08;-1.1996279199231187e-10;-4.347482547991868e-16;-3.935412072331099e-09;-3.316961732351668e-08;-4.707771937518544e-08;0.0;-3.750961519469325e-08;-9.87069590354435e-13;-0.006168066648374427;-6.325769679474441e-06;-6.113030719266814e-10;-2.5873969722045037e-09;-2.643202097718537e-14;-0.00045095401648205253;0.0;-2.636080605370026e-07;-6.449235008720414e-08;-9.001290369346518e-10;-3.211135116102917e-10;0.0;-1.1624533486536539e-08;-5.840260516483728e-06;-8.904894638128086e-07;;;;;
