;location;database;code;name;reference product;unit;waste_composting_solid;waste_digestion_liquid;waste_digestion_solid;waste_hazardous_liquid;waste_hazardous_solid;waste_incineration_liquid;waste_incineration_solid;waste_landfill_liquid;waste_landfill_solid;waste_non_hazardous_liquid;waste_non_hazardous_solid;waste_open_burning_solid;waste_recycling_solid;waste_total_liquid;waste_total_solid;Antimony (demand);Bauxite (demand);Borates (demand);Cement (demand);Cobalt (demand);Coke (demand);Copper (demand);Electricity (demand);Fluorspar (demand);Gallium (demand);Gold (demand);Graphite (demand);Helium (demand);Indium (demand);Latex (demand);Lithium (demand);Magnesium (demand);Natural gas (demand);Nickel (demand);Palladium (demand);Petroleum (demand);Phosphate rock (demand);Platinum (demand);Rare earth (demand);Rhodium (demand);Sand (demand);Scandium (demand);Silicon (demand);Silver (demand);Strontium (demand);Tantalum (demand);Tungsten (demand);Vegetable oil (demand);Water (demand);Zinc (demand);log parameters;parameters full;source;worksheet name;amount
d0c0331d09d7cd72bfbf44cfaa6bd1b8;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;d0c0331d09d7cd72bfbf44cfaa6bd1b8;market for trifluoromethane;trifluoromethane;kilogram;-0.001177470123436622;-4.076632888796768e-05;9.952818105054625e-06;6.27422580454844e-08;-0.014559716724117731;9.454088344361604e-10;0.017604382558305563;1.0504541952638407e-10;0.9801504623737535;0.0;0.0;0.002077990121615528;0.1736745299030753;0.017786027378044186;3.5845529067224233;2.1761022565876134e-07;0.03318344162203049;2.477860269144605e-05;0.027226588648583662;3.1402391646501295e-07;0.5815159191135415;0.010893329497289635;0.0;1.8431029701973525;1.4320463014957132e-09;2.665898442650747e-07;0.00029319892376461894;1.328498769416768e-06;1.7015155783574505e-11;3.4715848416820495e-06;5.923964250760258e-06;1.7630780822966006e-05;0.0;1.5440022193962855e-05;1.106604998975382e-08;0.10849281651687318;0.001185567175723142;6.095574365533261e-08;1.0951886913029293e-06;7.085474090082479e-14;0.2579296112989075;0.0;0.0004429313043757135;7.908714258710748e-06;4.2903549207348294e-06;4.152193158269926e-06;0.0;1.5024049378785302e-05;0.0004475825402951717;0.0011677627883649475;;;;;
c27641648029d80a71c39e81f15ff491;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;c27641648029d80a71c39e81f15ff491;market for electric motor, vehicle;electric motor, vehicle;kilogram;-0.0006767357913240524;-1.3294907771418119e-05;3.217525812229434e-05;4.5903403822959315e-08;-0.032732519777948395;7.13665148274846e-10;0.0083104626223926;7.929612266274261e-11;1.3019451890756928;0.0;0.0;0.0014239229298749873;0.08637133019102367;0.07043294055997852;3.289427694859039;1.7600702045274183e-07;0.526449617148404;1.6065304620399922e-05;0.14159222123882334;4.467272119810946e-06;6.777679771260001;0.1557421632080329;0.0;0.0010367774692753677;6.317720267556913e-10;1.9404805255051704e-08;0.00046355507841122667;9.779695147863827e-08;1.625358606571379e-11;1.0423873635414284e-05;4.609050845194127e-06;9.709401868975812e-06;0.0;0.00018034377597558597;1.3322235282860875e-09;0.1432285633187798;0.0031787463686023046;5.77180466637868e-08;1.0455041003119942e-06;1.836188505079569e-13;0.13574973447723432;0.0;0.002157359937975645;6.331547014712636e-06;1.3204776189053541e-06;7.453893558144943e-07;0.0;1.0391662072103185e-05;0.0005925911420214568;0.0022044595405662864;;;;;
0889f5b4a45ed54c2a8f76eeab45a541;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;0889f5b4a45ed54c2a8f76eeab45a541;market for residues, MSWI-WWT, WW from maize starch production;residues, MSWI-WWT, WW from maize starch production;kilogram;6.931670345865119e-05;5.826642725743825e-06;-6.354419386429905e-07;-1.3971179153192253e-09;0.00024907934149898505;-2.1517615188306542e-11;-0.00029808162201190743;-2.390845983590801e-12;-2.0890664335066824;0.0;0.0;-3.437122459708161e-05;-0.002796344459608474;-0.00030341970930191265;-3.1961961783570594;-2.9541820245792576e-08;-0.005401444985554863;-1.2310490242266496e-06;-0.8021611615630483;-1.4592249580605908e-08;-0.01883342863680109;-0.00016903576147773148;0.0;-2.561916970156409e-05;-2.947381317635135e-11;-2.5825150440466984e-09;-5.3302229910281106e-05;-1.006867982964938e-08;-3.4684253869274914e-12;-3.673762383965361e-07;-9.107960815028031e-07;-1.0474568242877553e-06;0.0;-1.202299423730146e-06;-2.2000444583872608e-10;-0.021402181094647525;-6.71427205297443e-05;-1.1183547789067469e-08;-1.923445330560519e-07;-5.4743954913675415e-14;-0.008347421180538167;0.0;-1.095158788696104e-05;-1.151604504746365e-06;-1.6454989619148683e-08;-1.3549965347356355e-07;0.0;-4.923365648912487e-07;-7.965729547800721e-05;-9.361430497717846e-06;;;;;
8f8323591fbb401627822048a6077a5e;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;8f8323591fbb401627822048a6077a5e;market for sodium phenolate;sodium phenolate;kilogram;-0.0005372577199571625;-1.7194783036054718e-06;3.6921561706280267e-06;3.29442548342684e-08;-0.004051442129923448;5.127740653957155e-10;0.008219928738684053;5.697489261761252e-11;0.5081668290565587;0.0;0.0;0.0011351648012024736;0.07015216350578068;0.006036653391129698;1.663583147091754;1.1816178205415614e-07;0.015577220929954519;9.978850902505437e-06;0.013683702468816271;1.570887139239173e-07;0.23748498979082275;0.004427877751457306;0.0;0.0005237667426552571;6.426783831055957e-10;1.1047265682604475e-07;0.00018924575705224006;5.453359009379893e-07;1.0937285433212293e-11;1.5673719141109317e-06;3.189950668622781e-06;8.894117427849847e-06;0.0;7.405513541982932e-06;4.722057903676187e-09;0.0652385555592674;0.0007080684183419847;4.007472963299561e-08;7.182896711103144e-07;3.3908816842760814e-14;0.0686646961451454;0.0;0.00020056761375881481;4.787326708898799e-06;2.486258472498719e-07;1.8363610619441537e-06;0.0;6.766159202761271e-06;0.0002427863004053303;0.0004668389517470821;;;;;
1caf7675422a5b52fe6e9bfb82ac11e3;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;1caf7675422a5b52fe6e9bfb82ac11e3;market for fishmeal, 63-65% protein;fishmeal, 63-65% protein;kilogram;-0.0007489411981253066;-1.115453275474973e-06;3.2691197646016897e-06;2.9895240654788123e-09;-0.001930814410051545;4.813285722301971e-11;0.0010786250383423845;5.348094914948747e-12;0.39974649855629407;0.0;0.0;0.001011688318784461;0.004346749588401184;0.0021542940125101793;0.8460582061193168;5.979567644350243e-08;0.003972380248339342;1.2512383976882064e-05;0.002242006908249607;1.542088896311811e-07;0.12004633340532599;0.000669060361521964;0.0;9.36345190766402e-05;6.52641356641607e-11;8.552340800186581e-09;0.00010866505137953648;3.042642104890573e-08;1.3933797097625515e-11;1.2500571128647437e-06;2.5009638483634004e-06;2.2333947829935735e-06;0.0;6.463879399487965e-06;7.911462819756101e-10;0.10601241514276966;0.00040828216591347024;2.4246743531660892e-08;4.997030361025953e-07;7.458818674787697e-14;0.037956318493298585;0.0;2.4345494270607328e-05;2.37917587909501e-06;4.9378225374528776e-08;5.29851863635245e-07;0.0;7.204307121941438e-06;0.00015798460401678015;2.0462930078954576e-05;;;;;
d07646f6f21631e3486cae30f0700c0e;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;d07646f6f21631e3486cae30f0700c0e;market for terrain chipper on forwarder;terrain chipper on forwarder;unit;-29.496448896735732;-0.2775886244051893;0.36296896474494755;0.0026103167582404037;-2721.330587806634;4.032574160849851e-05;3026.6429484806;4.480637678305228e-06;64622.22098063006;0.0;0.0;88.43715697572836;3043.4803740136567;5158.2583479325185;155200.918604199;0.006549678193324219;992.5466541499596;1.0354292634463191;8160.372657423702;0.34493616916287995;443428.19770945323;137.29047603237825;0.0;11.039425534663138;4.7450297740967096e-05;0.015399111295539721;10.897303987321159;0.0773012148927149;7.41127249774381e-07;0.125160114830628;0.18916878357670722;0.5853776697052558;0.0;13.83461085352559;0.000630352406781769;5223.717079669299;56.17934631509647;0.0022592475109725037;0.04170240473882226;4.535663450408746e-09;3361.774287406159;0.0;14.434830106201954;0.29787715912325735;0.01484936680083692;0.23233465569224088;0.0;0.3481391750112566;15.260076368275437;18.172710348476503;;;;;
6ac3e06a519065c05e56d26503998837;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;6ac3e06a519065c05e56d26503998837;market for brass removed by drilling, conventional;brass removed by drilling, conventional;kilogram;-0.0017980330034562645;-7.029963268361712e-05;0.00021586289005029734;1.2761097062205018e-07;-0.11654942066346725;1.929514352299632e-09;0.3820505527648037;2.143904702777354e-10;3.0862245548513005;0.0;0.0;0.13740470312393885;0.8031258073201781;0.21108461297945422;14.138082363240136;1.2889268836347123e-06;0.09466620596327972;9.403815465742227e-05;0.09261911670643236;5.765324117156691e-07;1.444467173068487;1.1643748643744989;0.0;0.0053439217446414255;2.4507871306508193e-09;6.041737447836809e-08;0.00048447577763261845;3.4938361990951187e-07;2.7257498162464594e-11;6.384929215051433e-05;7.867452054749468e-06;2.753979790759606e-05;0.0;3.9223482224975426e-05;3.34684006339327e-09;0.2657597662936931;0.016703760295740132;1.0064517784751617e-07;1.8249028113951017e-06;6.015967317818839e-13;0.7974876704676817;0.0;0.0007710534554327966;1.1854056036288545e-05;0.00010993041363324109;1.6436919790414418e-06;0.0;2.9681468784813816e-05;0.0033146279617389104;0.3062563660736106;;;;;
fccf40a4114750cb83ec1111105bb80f;RoW;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;fccf40a4114750cb83ec1111105bb80f;market for cellulose fibre;cellulose fibre;kilogram;-0.00017298682083290637;-8.996025924068956e-06;6.513139437435246e-07;4.3553498627401305e-09;-0.0006544243401527269;7.03846377298399e-11;0.014723971190663529;7.820514817754067e-12;0.18878162157892484;0.0;0.0;0.0041113385838797535;0.011624946584213517;0.0008522312704153034;-6.925330525823107;5.5313351176152654e-08;0.07700934982155865;0.07880236960842928;0.0010992906591907423;3.6470908742820346e-08;0.054263434795390864;0.0003592149760161401;0.0;4.262768521801463e-05;8.272619432365658e-11;6.125176640266688e-09;8.550717814914206e-05;2.602235876164682e-08;4.8985463387072025e-12;5.166334159568862e-07;1.4614942936413785e-06;2.109260500890784e-06;0.0;1.860947474433027e-06;4.1246082361228483e-10;0.024737333798897046;0.00011342441770959523;1.859929575006337e-08;3.2938479015248135e-07;7.43092972969811e-14;0.009987286941901093;0.0;2.7918120560859625e-05;1.971905954678744e-06;1.3218713767624388e-07;2.2904357448322492e-07;0.0;1.1063190987414096e-06;7.325027037888469e-05;5.303780260149664e-05;;;;;
aebc8c6782d3f8c3fc83d0a512ad38f0;RoW;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;aebc8c6782d3f8c3fc83d0a512ad38f0;market for pitch despergents, in paper production;pitch despergents, in paper production;kilogram;-0.00016085050598030015;-5.0768847171562e-06;1.1526940886644e-06;5.934971221694923e-09;-0.0006315724943214788;9.556716799861461e-11;0.0015074665088066245;1.0618573562780458e-11;0.21986920201389754;0.0;0.0;0.00015900021752087185;0.011247852904839898;0.0008645046978070081;0.5353973674653388;7.7227012611077e-08;0.1583893611741898;3.696844349873919e-06;0.0015065213613041784;4.1242091611476664e-08;0.06043905961598704;0.0007757443041156683;0.0;7.191307180487158e-05;1.0500087937857364e-10;1.7806857286425875e-08;0.00011638710240587234;8.266709181412017e-08;6.724865587310976e-12;0.33300078816529505;1.9924714323647867e-06;2.822681193624973e-06;0.0;2.7039466759484805e-06;9.351164412422092e-10;0.025358870198665413;0.00015748244821417435;2.5132992049725464e-08;4.3959711651820836e-07;1.4014926829942399e-14;0.013806192850268684;0.0;3.792942526424396e-05;2.6997628489037557e-06;4.190538669766308e-07;4.428409967985868e-07;0.0;1.4362046237725523e-06;0.00012446826251653754;6.920919917119493e-05;;;;;
e1fe20ef0393a1141c5a4a04e9c4f94c;GLO;ecoinvent_cutoff_3.9_remind_SSP2-NPi_2050;e1fe20ef0393a1141c5a4a04e9c4f94c;market for soybean oil, refined;soybean oil, refined;kilogram;-0.0005489299031598606;-5.0072767530432895e-06;0.00020005117983871548;2.1395148055970413e-08;-12.739558769061793;3.3700621224422427e-10;0.004872121956683043;3.7445132368902835e-11;0.7873722127549987;0.0;0.0;0.0009967785889730557;0.07128291066813851;0.3480995498865491;-10.736999846686269;2.5395006147375784e-07;0.018422513963505954;0.00020718148745104518;0.012595312044951904;9.150693711676606e-06;0.347738271653986;0.0016533758932071835;0.0;0.0003075516691699506;4.4830702338514276e-10;2.9049295709705625e-08;0.0003916447501177074;1.273212438703842e-07;2.3835288048916478e-11;2.8618942146286095e-06;1.0880801764959732e-05;1.0095850080191634e-05;0.0;1.6216915336103102e-05;1.9703748824639083e-09;0.09436743219241353;0.07328079340883242;8.524376679763198e-08;1.5097543597767405e-06;6.710979724814948e-14;0.05854731566330181;0.0;0.000140783838932749;9.196627378291646e-06;2.2532010700121607e-07;1.1042172885671984e-06;0.0;0.00017896414306181995;0.00036154776181951024;0.00023447676871162653;;;;;
