;location;database;code;name;reference product;unit;waste_composting_solid;waste_digestion_liquid;waste_digestion_solid;waste_hazardous_liquid;waste_hazardous_solid;waste_incineration_liquid;waste_incineration_solid;waste_landfill_liquid;waste_landfill_solid;waste_non_hazardous_liquid;waste_non_hazardous_solid;waste_open_burning_solid;waste_recycling_solid;waste_total_liquid;waste_total_solid;Antimony (demand);Bauxite (demand);Borates (demand);Cement (demand);Cobalt (demand);Coke (demand);Copper (demand);Electricity (demand);Fluorspar (demand);Gallium (demand);Gold (demand);Graphite (demand);Helium (demand);Indium (demand);Latex (demand);Lithium (demand);Magnesium (demand);Natural gas (demand);Nickel (demand);Palladium (demand);Petroleum (demand);Phosphate rock (demand);Platinum (demand);Rare earth (demand);Rhodium (demand);Sand (demand);Scandium (demand);Silicon (demand);Silver (demand);Strontium (demand);Tantalum (demand);Tungsten (demand);Vegetable oil (demand);Water (demand);Zinc (demand);parameters full;log parameters;amount;worksheet name;source
c2dc9f946255b4748afa807c1c09915c;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;c2dc9f946255b4748afa807c1c09915c;market for maintenance, heat and power co-generation unit, 160kW electrical;maintenance, heat and power co-generation unit, 160kW electrical;unit;-1.6532594770351845;-0.027933944468207177;0.1968558056363362;0.0006341986106581434;-50.941420999223695;1.0196956628594006e-05;42.73368428928732;1.1329951106092933e-06;5043.957785128255;0.0;0.0;4.297363582766332;176.64487157897383;106.76051297705884;11362.286848166541;0.0016249352226639332;56.31184864954664;0.0565680622864739;374.7272886997294;0.005638390322050784;30489.831898206507;16.946291428580523;0.0;0.7342883968379555;2.093005480273142e-06;0.00016571919360049034;0.07823663570863493;0.0007730370249701169;1.2892528196932564e-09;0.026491365129591715;0.0076522556057219745;0.0672604388241682;0.0;0.18526297921409263;2.421325149760753e-05;1425.497293050989;4.639064731940876;0.00020632899737437486;0.0037801575458464615;1.0292487065761418e-08;415.16834137867704;0.0;0.7205911175702427;0.016418819304270613;0.0007155258720595841;0.012359782133209537;0.0;0.05557031002577587;2.0498566770228086;0.90651628998111;;;;;
1a3d7b9381157cdda1d1a1026dbbe83e;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;1a3d7b9381157cdda1d1a1026dbbe83e;market for contouring, brass;contouring, brass;kilogram;-6.562919064245613e-05;-8.500633317788657e-06;8.754110124061035e-06;1.5375402776956445e-08;-0.0005320443551026896;2.4197523713527927e-10;0.004136411757111556;2.6886135790164427e-11;0.16226999663833305;0.0;0.0;0.00029389640374388927;0.019831683657758885;0.002384701489004929;0.5055607906025796;1.0704574185001006e-07;0.004130218381319691;7.52859766012405e-06;0.01693806333090589;3.656417219216173e-08;0.07500386066909875;0.04637076913558533;0.0;0.00023573993697996692;5.0836921449023604e-11;5.7513239276140876e-09;2.334818831735014e-06;3.177161855877977e-08;5.228681575302106e-14;2.6155157041419153e-06;2.9038125897892905e-07;8.71383914824518e-07;0.0;1.3598982530405257e-06;2.2777132880145834e-10;0.024077473653083943;0.0008194098106669162;3.679492205622602e-09;1.1803737566974702e-07;3.049961564802693e-14;0.035505129489265534;0.0;2.2061038970659718e-05;6.038077205384999e-07;4.907900411057542e-06;8.072740102875627e-08;0.0;1.195519520867113e-06;0.00013738293146939244;0.01207859311961762;;;;;
4bbab70f8c40533af6f5dc3018d8139f;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;4bbab70f8c40533af6f5dc3018d8139f;market for zinc concentrate;zinc concentrate;kilogram;-9.069244965709199e-05;-7.302719703052332e-07;3.895511845148252e-06;1.1572853709962434e-08;-0.0003607202666863103;1.7312155475954073e-10;0.0010163861405885432;1.9235727112304484e-11;0.07331892021781922;0.0;0.0;0.0005033125054183597;0.019767311768861512;0.0039007239637674647;0.2962428466916713;2.227526641264629e-08;0.0027960963192529466;4.1159052010359524e-05;0.0023579695585403573;5.897175629879962e-08;0.06994615167270479;0.005962145256076099;0.0;5.716619184960079e-05;4.887265499970168e-11;1.6834395365140543e-09;1.3128201175264047e-06;1.4684570645606594e-08;1.632691679381306e-14;1.1387302893352468e-06;1.0614760387933763e-07;4.3495779059200917e-07;0.0;1.2275266060173223e-06;6.824621491687594e-11;0.04332779254277763;0.00033999502808897966;1.951870458284103e-09;6.578386596006191e-08;1.0533332108500928e-14;0.023408826415123835;0.0;1.590760696489042e-05;2.2495450800852238e-07;2.4261429666417785e-05;2.394070777758982e-08;0.0;7.92199908069652e-07;5.460700622803102e-05;4.1353767838149354e-05;;;;;
7000efd5542737d4aea9cfcfc70c3dab;RoW;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;7000efd5542737d4aea9cfcfc70c3dab;market for NMC111 oxide;NMC111 oxide;kilogram;-0.002898087673405577;-0.0030737791724523805;5.3714398955090854e-05;2.54026561413285e-06;-0.6928217118692819;3.610825900500777e-08;0.008852532725831409;4.012028529234676e-09;39.04971864107324;0.0;0.0;0.007924977591924419;3.2854040987844506;1.1007079106461304;141.2733002859728;2.653341071697905e-06;0.11740360352952142;0.00043441605716386275;0.3074799535087136;2.8231890364837396e-06;3.6333593351109297;0.031001222305790794;0.0;0.002282233866988568;1.62490659842512e-09;4.023962450448831e-07;7.740509628761233e-05;4.2189272539775125e-06;1.949145759845889e-12;1.4884305450081356e-05;0.3830122667066924;2.917725680309672e-05;0.0;0.01708524671355899;1.6517650476295206e-08;1.8590898655394312;0.005642273743507997;1.9123627956908275e-07;5.149290718984265e-06;2.807864915649007e-11;1.289045143916185;0.0;0.000674298576387292;2.4695142336961235e-05;9.33400195208063e-06;5.292367613118714e-06;0.0;3.3780383418041286e-05;0.11368314619162048;0.0022881681934215333;;;;;
70214a894f509eac7925d5d8633e1dbb;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;70214a894f509eac7925d5d8633e1dbb;market for road wear emissions, passenger car;road wear emissions, passenger car;kilogram;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;
734071baa900d7707b19b951a2559c7d;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;734071baa900d7707b19b951a2559c7d;market for used tyre;used tyre;kilogram;2.3822745178934553e-05;6.797570378320394e-08;-1.8166348564840244e-07;-5.861609329470112e-10;0.0001213948062186298;-9.553614159382337e-12;-0.809403996202583;-1.0615126184684364e-12;-0.11835503087481311;0.0;0.0;-1.8983527381465902e-05;-0.006126115930767016;-0.0003053499565505228;-1.0736058477836732;-8.419295704073176e-08;-0.0010105035332617293;-2.965707911113375e-07;-0.011617332641564903;-1.5724021637418795e-08;-0.021995839946564746;-6.758765818948852e-05;0.0;-3.2199349618030206e-05;-1.6885121392569822e-12;-3.766987556405069e-10;-1.4983747795633138e-06;-1.2615252352946515e-09;-7.086908265455796e-14;-2.845886527450255e-08;-3.906066861187023e-07;-5.400031335332084e-07;0.0;-3.5563999930081954e-07;-1.5404113321584395e-11;-0.012872832944550687;-4.5969435819575754e-05;-4.6651700095447464e-09;-1.4540191731017797e-07;-2.384300448719747e-15;-0.0039895013551033585;0.0;-2.569591206418382e-06;-7.415170470578089e-07;-7.81354435139344e-09;-7.730442207945549e-09;0.0;-5.164891842923671e-08;-4.4654880566524784e-05;-3.0978392498342175e-06;;;;;
afd9e5f03a4f8e1599d8f1a56edfbb9c;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;afd9e5f03a4f8e1599d8f1a56edfbb9c;market for fava bean, organic;fava bean, organic;kilogram;-0.00013121503040593863;-2.868920255147527e-06;4.741010537100461e-07;2.752199997184915e-09;-0.0009328150908557097;4.47562458789331e-11;0.0008869211310606978;4.972915900011083e-12;0.13964428639646;0.0;0.0;0.00041239861596732594;0.01642943052092552;0.0004810382069263325;0.3769026692441679;1.1381151074969778e-07;0.002601565577929938;8.862532573209976e-07;0.0014704455835393717;7.09872406472568e-08;0.12734861020997298;0.0003812429498635644;0.0;1.8821991691909474e-05;9.195654898473539e-12;1.193720587138054e-09;2.605187693761656e-06;5.279541625057074e-09;1.0194454168638134e-13;6.410942496852735e-07;7.671342457048538e-07;7.901935889905831e-07;0.0;5.351622308451222e-07;4.821180771822252e-11;0.05827308910732053;0.00010854058353668944;6.959065508397643e-09;2.330595050649877e-07;3.380877262466402e-14;0.011898064982078814;0.0;9.946391666291507e-06;1.0050300908029398e-06;5.144014860871287e-08;1.919393651606136e-08;0.0;1.0181659928265288e-06;6.468850630390734e-05;0.00010950856022591997;;;;;
f7b2a1139e3e46e0b644dc8d78263c2a;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;f7b2a1139e3e46e0b644dc8d78263c2a;market for mango seedling, for planting;mango seedling, for planting;unit;-3.861881985597464e-05;-5.8619489489382593e-08;7.390865688961918e-07;8.34317055242564e-10;-0.00012787359781668293;1.3626475598904105e-11;0.00040911224278555045;1.5140527503179095e-12;0.12323862034736562;0.0;0.0;0.00010939426574425893;0.0007414932657576909;0.0002316826576299612;0.2543043924377492;8.76116266539251e-08;0.0011350110364975541;4.610827932144877e-07;0.00033799480402183445;3.242871253183016e-08;0.02348120362292028;0.00012130416503760193;0.0;9.217577917540839e-06;2.48850276795853e-12;6.738804245858926e-10;1.9582831967951924e-06;2.5376181920955535e-09;2.1281400242593612e-13;5.3158990252854154e-08;5.177659960380925e-07;5.84188035787882e-07;0.0;1.0908619442579317e-06;3.643369801260524e-11;0.018070449021302438;0.0025286216250244528;5.061537975064837e-09;1.7027120272935844e-07;4.8582073138167636e-14;0.00401599249070326;0.0;3.281245228937836e-06;7.946810915012401e-07;1.5814663251636606e-08;1.9639291186556474e-08;0.0;6.198378961360854e-08;5.753715264157076e-05;4.810554971237467e-06;;;;;
c74ebd4ec663ce8c96d41fce1745394f;RoW;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;c74ebd4ec663ce8c96d41fce1745394f;market for waste polyethylene terephthalate;waste polyethylene terephthalate;kilogram;2.3867486629928845e-05;3.558783338153807e-08;-1.0890537365164453e-07;-4.501934817549932e-10;0.00011187954923330183;-7.434822975740227e-12;-0.2155258204054194;-8.26091390458409e-13;-1.0499891574891365;0.0;0.0;-0.1948954883093995;-0.0015125584571448018;-0.0001480756007926441;-3.175767187511986;-8.091990331583515e-08;-0.0009230683187267117;-2.7423079699221653e-07;-0.0010426114975342427;-1.507414673309614e-08;-0.016385346579682387;-6.013569245151868e-05;0.0;-5.08676377443257e-06;-1.2344752926176468e-12;-2.7132244114355643e-10;-1.4342329416012472e-06;-7.484246327025672e-10;-6.80889435188745e-14;-2.468866755838702e-08;-3.7537895075649436e-07;-5.153597620453769e-07;0.0;-2.14466898804204e-07;-1.1218135748238358e-11;-0.012121153606466302;-2.315366628995198e-05;-4.492363918328325e-09;-1.401256651208826e-07;-2.1475035667839025e-15;-0.002590111101268572;0.0;-2.3386029416888147e-06;-7.123110769325819e-07;-6.588429960718226e-09;-6.17977849342748e-09;0.0;-3.133366735944193e-08;-4.000206530361319e-05;-2.4814738524931903e-06;;;;;
a32922582fc738f089a0be8b36b6cf54;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;a32922582fc738f089a0be8b36b6cf54;market for pyrethroid-compound;pyrethroid-compound;kilogram;-0.0013738713912061554;-5.940077114279212e-06;1.3242842567127111e-05;2.1253302558277034e-07;-0.009502246713075825;3.351238671362701e-09;0.029367186563685647;3.7235982925449196e-10;1.6435611001348094;0.0;0.0;0.004133868824751462;0.28053984383071784;0.03138723661870679;5.824332034375484;7.949873655211703e-07;0.04471363131053795;2.485981692706182e-05;0.05524526864396239;4.793832685769635e-07;2.2114033053287505;0.016927282448703153;0.0;0.03573567576790858;7.387828108225426e-10;4.1612802460764067e-07;2.958598834672532e-05;2.084031153822199e-06;6.834633103331074e-13;2.844999767220937e-06;4.995925836873631e-06;1.1807522540436423e-05;0.0;0.00018228226756930563;1.636742227921773e-08;0.2750670330658922;0.0027597977791075064;4.490892448617374e-08;1.4367617088815398e-06;1.5514243018320666e-13;0.449795196361048;0.0;0.0003068953102713593;8.402487502400939e-06;1.0037701469699907e-06;5.718501971476958e-06;0.0;2.7368761883714415e-05;0.000723431080043013;0.0018205833653888537;;;;;
