;location;database;code;name;reference product;unit;waste_composting_solid;waste_digestion_liquid;waste_digestion_solid;waste_hazardous_liquid;waste_hazardous_solid;waste_incineration_liquid;waste_incineration_solid;waste_landfill_liquid;waste_landfill_solid;waste_non_hazardous_liquid;waste_non_hazardous_solid;waste_open_burning_solid;waste_recycling_solid;waste_total_liquid;waste_total_solid;Antimony (demand);Bauxite (demand);Borates (demand);Cement (demand);Cobalt (demand);Coke (demand);Copper (demand);Electricity (demand);Fluorspar (demand);Gallium (demand);Gold (demand);Graphite (demand);Helium (demand);Indium (demand);Latex (demand);Lithium (demand);Magnesium (demand);Natural gas (demand);Nickel (demand);Palladium (demand);Petroleum (demand);Phosphate rock (demand);Platinum (demand);Rare earth (demand);Rhodium (demand);Sand (demand);Scandium (demand);Silicon (demand);Silver (demand);Strontium (demand);Tantalum (demand);Tungsten (demand);Vegetable oil (demand);Water (demand);Zinc (demand);parameters full;log parameters;source;worksheet name;amount
97f8429f8b8aaf867e44fa4acf9ff776;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;97f8429f8b8aaf867e44fa4acf9ff776;market for used intermodal shipping container, 40-foot;used intermodal shipping container, 40-foot;unit;0.09451094703688272;0.00040374326391846046;-0.00048801308710036536;-1.0582547287239874e-06;0.46309066390135645;-1.7612602653560325e-08;-11.623902993521552;-1.9569557288917856e-09;-249.54178540285596;0.0;0.0;-0.05776370261253129;-4.163509103461144;-0.4869146543535881;-1481.2115230701877;-0.00015538212904544243;-3.2446019486229427;-0.00214595772121712;-0.9112823720980624;-3.934878506895499e-05;-44.6598645405181;-0.21548175812679762;0.0;-0.04127104683195501;-5.791287221189995e-09;-4.0969242999111074e-06;-0.09039844242352219;-1.3319283800608454e-05;-4.911707856471069e-09;-0.0004821584431688367;-0.0017285891592310723;-0.0017072662235722545;0.0;-0.0017477404828883185;-3.7758326686783307e-07;-36.976069064052204;-0.11445053582676801;-2.4574224998700514e-05;-0.00044828806792369507;-8.300537708662864e-12;-8.912916336500498;0.0;-0.008815406876494177;-0.0023353711728016997;-2.6211155044595693e-05;-0.00025847700280803474;0.0;-0.00032138596016086617;-0.12762296771564172;-0.02173854629830536;;;;;
af8892f3466f3fc705759b888ea630af;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;af8892f3466f3fc705759b888ea630af;market for sewage sludge, 75% water, WWT, condensate from light oil boiler;sewage sludge, 75% water, WWT, condensate from light oil boiler;kilogram;1.6882094317684615e-05;4.0240191148759274e-08;-7.358861336206896e-08;-1.374523859445028e-10;1.000079501342722;-2.3046477519326354e-12;-6.240064143434828e-05;-2.5607195653791955e-13;-0.0322875818353779;0.0;0.0;-4.616697584558837e-06;-0.0002616092124682903;-8.049772046829124e-05;0.9332960217993844;-2.5231903224128716e-08;-0.00047016320691707083;-2.6323930339278536e-07;-9.345890983963852e-05;-6.075359865644944e-09;-0.005691497926568609;-2.993248694996667e-05;0.0;-4.585773775068366e-06;-7.503560453272968e-13;-3.791681877763727e-10;-1.251414752684523e-05;-1.2788497585207911e-09;-3.094576553272e-13;-3.834149839109987e-08;-2.2291457606727186e-07;-2.6463312500089623e-07;0.0;-1.5217280761550982e-07;-2.954467206222473e-11;-0.007070241554023999;-1.5993459025632433e-05;-3.6315740201424085e-09;-6.59089447651782e-08;-1.7405117507005927e-15;-0.000991112512297708;0.0;-1.2182257144953946e-06;-3.642561226322462e-07;-3.3577949638727476e-09;-1.8179350958318114e-08;0.0;-4.847146726439863e-08;-1.4021247616786437e-05;-1.4637790828442553e-06;;;;;
5237d7457f053de443e9eeb238345177;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;5237d7457f053de443e9eeb238345177;market for horn meal;horn meal;kilogram;-5.607930422669337e-06;-2.4602952814734817e-08;1.6699241796480946e-07;6.864118313309334e-10;-4.91899294441875e-05;1.1127373294407807e-11;0.00037706582083259585;1.236374733725508e-12;0.016481157102261973;0.0;0.0;6.0852597047898296e-05;0.005651131748518077;5.549610402652592e-05;0.06480611080003264;6.777993879953476e-09;0.0002597344199961432;1.5273497407754945e-07;0.00020585560607153293;2.9304604808310856e-09;0.00794070112839519;4.496546629094108e-05;0.0;4.188202397749681e-06;4.356825666722538e-12;1.2435199682502974e-10;3.362602288214442e-06;5.141949762149698e-10;8.420070253449547e-14;6.026820451626403e-08;5.918355074873196e-08;1.0735567591787203e-07;0.0;8.669512831037468e-08;8.922503024348878e-12;0.0012966574148568645;7.946315175424287e-06;9.584314388493204e-10;1.7460380091353226e-08;4.948367959868741e-16;0.005345777793679211;0.0;1.7055148858271837e-06;9.899038543600744e-08;1.1081918208657118e-08;5.292056271882556e-09;0.0;1.0212214323494524e-07;7.1607448842011e-06;2.8463174137346292e-05;;;;;
ad56910c5d13c950b14b5442346c301d;RoW;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;ad56910c5d13c950b14b5442346c301d;market for residual hardwood, wet;residual hardwood, wet;cubic meter;-0.6451352613563373;-0.004568020646754358;0.006345411954807353;2.970434666872397e-07;-0.44098963456463325;4.841037559404287e-09;0.06894321147473412;5.378930287592365e-10;21.570474655499236;0.0;0.0;0.01149224520114756;0.44193470454179046;0.05669885381694764;45.361236150248374;1.602525573184767e-05;0.31614309641387905;0.00018933622558608732;0.13595008547175402;4.437401947191491e-06;4.560271509180641;0.021551436189603975;0.0;0.0027834030336601977;1.9459876594603475e-09;2.864959090018219e-07;0.008044302147533957;1.0476351947560198e-06;2.158556344453503e-10;0.0007981396467639531;0.00014402994685077544;0.0001818659628180632;0.0;0.00011484554915278113;2.1547098787292765e-08;2.9676664258166525;0.015571598553915947;2.3224123277399882e-06;4.204091397016173e-05;5.249325596074168e-12;0.7230529744722449;0.0;0.0011654329555052865;0.00023318848109474448;2.7248626567509697e-06;1.2986439350669006e-05;0.0;0.034032117521433224;0.018158711123615744;0.001927931030488884;;;;;
24e26531d5f313f55a4923ddf4ce7f12;RoW;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;24e26531d5f313f55a4923ddf4ce7f12;market for cobalt sulfate;cobalt sulfate;kilogram;-0.003908729908907398;-0.004750098197465068;5.823504588373515e-05;3.3784412239092016e-06;-1.0375909765652647;4.6965746486247095e-08;-0.0058292910335731194;5.218415952247766e-09;47.06224288796043;0.0;0.0;0.0067949982027193;4.820374047220276;1.6514774821390004;190.0534021469009;2.1432839616171275e-06;0.14159259780964303;0.0006314871672723031;0.5037185963938651;3.77100545979437e-06;4.331885346231971;0.03275761950935157;0.0;0.0023066710362847753;1.0063137313247054e-09;2.993548055337609e-07;0.0009563361428378014;4.86644460619359e-06;2.314385780168571e-11;1.9585687311676793e-05;1.897502790976295e-05;3.0504016306206634e-05;0.0;0.00016404785747242104;1.3928350613323393e-08;2.411779429955454;0.007057903101139142;3.557747637948808e-07;6.325539482490647e-06;4.3450289155553655e-11;1.376299805249656;0.0;0.0006189101461356558;3.201512299649988e-05;9.810100974959315e-06;4.646960576884217e-06;0.0;3.239914016309663e-05;0.17582771333099745;0.0020093576331853625;;;;;
0d80fd67a66aae662253a6c856bd0ebd;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;0d80fd67a66aae662253a6c856bd0ebd;market for cottonseed meal;cottonseed meal;kilogram;-0.04038318728088234;-1.825395623406278e-06;0.0847766380855393;1.8133666340437446e-09;-0.0007124321300928415;2.8900240316439757e-11;0.10480630366514725;3.2111376135640833e-12;0.11519608736964665;0.0;0.0;0.00020462619105608208;0.00806452709066437;0.00046789104008934423;0.9161709093457832;5.708356992879096e-08;0.0017274445980187392;2.264073519013619e-06;0.002249443348605733;4.1801075950971234e-08;0.08779449461163409;0.0003768902108492739;0.0;3.384128360897254e-05;1.0462647022038439e-11;3.6482664802035794e-09;3.138969403665481e-05;1.7029192013202823e-08;9.374216214689598e-13;4.515875276707185e-07;1.6657752506531505e-06;7.492138656174867e-07;0.0;6.4020523888607826e-06;1.8678645539942304e-10;0.030831691279925636;0.021469033754202803;8.96877902251952e-09;1.7067527839338578e-07;2.06658888314868e-14;0.009181479238725662;0.0;9.658418602728977e-06;8.488922895952616e-07;4.5947925114542943e-08;8.862722385772595e-08;0.0;6.707391502453971e-07;5.1982611421889204e-05;3.8330831124829286e-05;;;;;
aadc462cbab20d2b9314e679b5c0cd8d;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;aadc462cbab20d2b9314e679b5c0cd8d;market for used printer, laser;used printer, laser;kilogram;3.8862116469926926e-05;1.9283001464409826e-07;-3.445664312552436e-07;-7.642272066833184e-10;0.000170754889337761;-1.2483099871302944e-11;-1.070583588893064;-1.387011010694459e-12;-0.2908593160196066;0.0;0.0;-0.025410981785800008;-0.012043859497309461;-0.00033816560449313277;-4.100894560267472;-6.86482930563913e-08;-0.0015269133441001288;-7.827124909350701e-07;-0.011746396844660448;-1.5587367014351306e-08;-0.028011302093461483;-0.0001183746463786784;0.0;-3.4597075767259804e-05;-5.2982652412695706e-12;-1.4357158768608216e-09;-3.4116178253624775e-05;-5.556190888876299e-09;-8.500766184500919e-13;-1.122399292582231e-07;-6.070142369198159e-07;-7.485028143221614e-07;0.0;-8.952830272967298e-07;-9.65750662551199e-11;-0.011791218971315862;-5.6870793803438444e-05;-9.83378857938801e-09;-1.770299799709567e-07;-3.2701663704164913e-15;-0.007151284750537366;0.0;-4.731085916196533e-06;-9.9346225443371e-07;-1.9195831378875095e-08;-5.5338006290450705e-08;0.0;-2.1735338930466558e-07;-5.377700567538805e-05;-3.022703036185572e-05;;;;;
e8d657e5131f6518ec076ed4462eaf83;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;e8d657e5131f6518ec076ed4462eaf83;market for magnesium factory;magnesium factory;unit;-119012.6555824415;-270.5705957550679;8172.391950979165;0.9787013944990922;-464682.6789207788;0.015717766361330973;23575658.683121897;0.0017464183761604043;446882781.7661516;0.0;0.0;3847734.3143106136;364639703.1734824;714373.0668411518;2902745619.677205;33.72685262223892;7196110.373802148;742.419756662113;2998983.1598492847;36.30835012743958;183421054.04021803;124694.85209857025;0.0;11373.70133544946;0.005976842726232751;0.7188529005336106;15484.439615539137;2.931465025129674;0.0004421005918670368;86.4314031972277;252.66786902847304;345.9499936792045;0.0;1350.8859377623342;0.05054299405887814;12519532.079685235;48982.80736556299;4.003236569543597;78.70775409470345;1.1525490043079009e-05;143564092.1278153;0.0;21891.922518996216;400.43105955191004;659.4700214483935;29.168467352727706;0.0;4353.636058913129;163937.78129827435;1885943.1318330304;;;;;
20487bf03f69cf902ed96f416b8140ba;RoW;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;20487bf03f69cf902ed96f416b8140ba;chlorine, for reuse in zirconium and hafnium tetrachloride production, to generic market for chlorine;chlorine, liquid;kilogram;-9.318763484747838e-06;-1.7888199645568312e-07;3.0429511711503635e-07;1.614681620515331e-08;-0.00019176326680612503;2.5909485322343473e-10;0.000626084499488975;2.8788315237412185e-11;0.10594796131934617;0.0;0.0;3.0033315935688373e-05;0.004624700740975967;0.00022403612242959171;0.40751118165227784;4.601894350209599e-09;0.0006675988718953811;8.291144537393024e-07;0.002072844948493818;1.5173701695963276e-08;0.02038720542820064;0.00015509000669441963;0.0;1.3848520824087878e-05;1.1224582969241749e-10;3.1973968761385265e-10;2.71575332847442e-06;3.5685081384469888e-09;5.889417589480698e-14;8.590652373222113e-08;3.843660725203044e-08;1.0414510601177874e-06;0.0;2.6231240481414706e-07;1.5426729137226495e-11;0.0029163831214329187;2.45398819248175e-05;6.194802872281632e-10;1.3162645443194327e-08;1.3408239074045784e-15;0.007439676145314514;0.0;2.8583247800622582e-05;1.3304033826074664e-07;1.6532675062756322e-08;7.437494298135665e-09;0.0;7.906903148897894e-07;1.3278049199603078e-05;7.664488229659887e-06;;;;;
3e94674bc41b5e4877d067971c70ab68;RoW;ecoinvent_cutoff_3.9_remind_SSP5-Base_2040;3e94674bc41b5e4877d067971c70ab68;market for propylene;propylene;kilogram;-3.3666241507083866e-07;-2.3911448068757445e-08;4.378992520997257e-09;1.7548460329466345e-11;-4.2049703430638376e-06;2.634208569842069e-13;0.00023880123161290506;2.926898229209869e-14;0.011314621563343182;0.0;0.0;0.0005317813521203394;6.784936884697199e-05;6.142957921809695e-06;0.027076416460158844;4.148301156420293e-10;2.3367746983093112e-05;6.679845936564192e-09;0.0035997851372330087;5.148232075906646e-10;0.0002549954770280016;1.725899445148699e-06;0.0;3.319970495778661e-07;1.1361230441402198e-13;2.6885485756155355e-11;2.1722108863190777e-07;1.2487289765611554e-10;5.893749236404308e-15;1.1578685664394861e-09;3.753847176058853e-09;5.289830993586326e-09;0.0;5.803888383056018e-09;1.330712510481704e-12;0.0004624217870908909;5.697519895055959e-07;6.655385861574134e-11;1.403106943004672e-09;2.508915519895229e-16;6.958617191709351e-05;0.0;5.420535455981805e-08;6.120313555473403e-09;1.4507269661387516e-10;6.107973930540143e-10;0.0;2.7897795707730286e-09;5.822388899062066e-07;1.3443953302709333e-07;;;;;
