activity type;reference product;code;name;unit;location;database;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
market activity;seed-cotton;418689c0bfbb8b4bd7d1d0d5c1b10f57;market for seed-cotton;kilogram;GLO;ecoinvent_3.9.1_consequential;116;Growing of fibre crops;1921;Cotton, whether or not ginned;;
market activity;fish freezing, small fish;09bc207d62423d4510d16cc78b6a840e;market for fish freezing, small fish;kilogram;GLO;ecoinvent_3.9.1_consequential;1020;Processing and preserving of fish, crustaceans and molluscs;21222;Fish fillets, frozen;ProcBio;Food & beverages, animal feed
market activity;helicopter;145cb8e60db304e32002d3e8f58de8ed;market for helicopter;unit;GLO;ecoinvent_3.9.1_consequential;3030;Manufacture of air and spacecraft and related machinery;49621;Helicopters;MachElecTrans;Transport vehicles
market activity;navy bean;86cd157d06160ba3e37847b8193e419c;market for navy bean;kilogram;GLO;ecoinvent_3.9.1_consequential;111;Growing of cereals (except rice), leguminous crops and oil seeds;1243;Broad beans and horse beans, green;OreMinFuel;Ores, minerals & fuels
market activity;iron scrap, sorted, pressed;20129e795d7b2741829106694d149720;market for iron scrap, sorted, pressed;kilogram;RoW;ecoinvent_3.9.1_consequential;3830;Materials recovery;39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
market activity;tree seedling, for planting;b6a3b688efc21f2d31634ff7b4426419;market for tree seedling, for planting;unit;RoW;ecoinvent_3.9.1_consequential;130;Plant propagation;1961;"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn";;
market activity;corrugated board box;8684cc3d24af93d4686abe6d69a3f5ab;market for corrugated board box;kilogram;RoW;ecoinvent_3.9.1_consequential;1702;Manufacture of corrugated paper and paperboard and of containers of paper a;32153;Cartons, boxes, cases, record sleeves and other packing containers (except bags) of paper, paperboard, cellulo[…];ProcBio;Pulp & paper
market activity;metallization paste, back side;a94a6cbfef92df5d348242b4007c83f4;market for metallization paste, back side;kilogram;RoW;ecoinvent_3.9.1_consequential;2029;Manufacture of other chemical products n.e.c.;35499;Other chemical products n.e.c.;Chemical;Chemical products
market activity;bottom ash, MSWI-WWT, WW from grass refinery;071990bd8b0418642a87cb0543967782;market for bottom ash, MSWI-WWT, WW from grass refinery;kilogram;GLO;ecoinvent_3.9.1_consequential;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
market activity;isobutanol;5e3dc256c9c1d43c710ca7f731da0853;market for isobutanol;kilogram;RoW;ecoinvent_3.9.1_consequential;2011;Manufacture of basic chemicals;34139;Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…];Chemical;Chemical products
