activity type;reference product;code;name;unit;location;database;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
market activity;holmium oxide;4ad0d1c39071582c4f0126a465493e35;market for holmium oxide;kilogram;GLO;ecoinvent_3.9.1_cutoff;729;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
market activity;potassium perchlorate;de109d428c6adc495f23ecd1b116aa7a;market for potassium perchlorate;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
market activity;sugar beet;826b5633056a1337924451d3231fd0e2;market for sugar beet;kilogram;RoW;ecoinvent_3.9.1_cutoff;113;Growing of vegetables and melons, roots and tubers;1801;Sugar beet;Chemical;Chemical products
market activity;ozone, liquid;e542f5aaf1d9e3b8ed963dc8d891e640;market for ozone, liquid;kilogram;RoW;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;342;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market activity;used intermodal shipping container, 20-foot;8cab8c84b5d5a53c4363102c32d5aee1;market for used intermodal shipping container, 20-foot;unit;GLO;ecoinvent_3.9.1_cutoff;3830;Materials recovery;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
market activity;cathode, LFP, for Li-ion battery;de9d213ce13f4f537837dea3b4f9faf7;market for cathode, LFP, for Li-ion battery;kilogram;RoW;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;46430;Parts of primary cells, primary batteries and electric accumulators (including separators);MachElecTrans;Metal/electronic equipments and parts
market activity;photovoltaic slanted-roof installation, 3kWp, multi-Si, laminated, integrated, on roof;6930e2c63b586572fcb0b6be513bd2cd;market for photovoltaic slanted-roof installation, 3kWp, multi-Si, laminated, integrated, on roof;unit;GLO;ecoinvent_3.9.1_cutoff;3320;Installation of industrial machinery and equipment;87360;Installation services of electrical machinery and apparatus n.e.c.;;
market activity;coating from waste cathode ray tube display;a2c346046d9534cb2a120746de70bc90;market for coating from waste cathode ray tube display;kilogram;RoW;ecoinvent_3.9.1_cutoff;3821;Treatment and disposal of non-hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
market activity;residues, MSWI-WWT, WW from medium density board production;4329d9a0c9ec3d5e3b73ade12f2ebce0;market for residues, MSWI-WWT, WW from medium density board production;kilogram;RoW;ecoinvent_3.9.1_cutoff;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
market activity;brazing solder, cadmium free;73fa4f2bb18548be0e00c1de8cd6a10f;market for brazing solder, cadmium free;kilogram;GLO;ecoinvent_3.9.1_cutoff;2029;Manufacture of other chemical products n.e.c.;42950;Wire, rods, tubes, plates, electrodes and similar products, of base metal or of metal carbides, coated or core[…];ProcBio;Food & beverages, animal feed
market activity;waste paperboard;c6ca93139d95740543d55d391a89abc9;market for waste paperboard;kilogram;RoW;ecoinvent_3.9.1_cutoff;3821;Treatment and disposal of non-hazardous waste;39240;Waste and scrap of paper or paperboard;AgriForeAnim;Agricultural and forestry products
market activity;air filter, in exhaust air valve;495616378b5d9013197ab093e3181662;market for air filter, in exhaust air valve;unit;GLO;ecoinvent_3.9.1_cutoff;2819;Manufacture of other general-purpose machinery;43914;Filtering or purifying machinery and apparatus, for liquids or gases, except oil filters, petrol filters and a[…];MachElecTrans;Metal/electronic equipments and parts
market activity;sodium tetrahydridoborate;da1a6c325d3d2ebf5fcfc9737f7f8c7d;market for sodium tetrahydridoborate;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34280;"Hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides and borides";Chemical;Chemical products
market activity;perfluoropentane;6bbb367fa3e03a1a151f4277a6fd81ae;market for perfluoropentane;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34;Basic chemicals;Chemical;Chemical products
market activity;gold;36312a62a043eb8374d232cf30167c22;market for gold;kilogram;GLO;ecoinvent_3.9.1_cutoff;729;Mining of other non-ferrous metal ores;41320;Gold (including gold plated with platinum), unwrought or in semi-manufactured forms, or in powder form;MetalAlloy;Basic metals & alloys, their semi-finished products
